"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-06-01,2025-06-30,"CP149 [Cadastros] Chopper - Setembro — amplo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP146 [Cadastros] Master ride  CBO - Setembro — delivery",inactive,6.11,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP150 [Cadastros]  DR160 -Setembro — amplo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP151 [Cadastros] DK 160 emplacada - Setembro — delivery",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP150 [Cadastros] Chopper - Setembro - delivery",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP151 [Cadastros] DK 160 emplacada - Setembro",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP153 [Cadastros]  DR160 -Setembro — amplo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP154 [Cadastros] Master ride  CBO - Setembro",inactive,26.31,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP155 [Cadastros]  DK150 -Setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP156 [Cadastros]  NK150 - MARÇO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP157 [Cadastros] Master ride  CBO - Setembro",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP158 [Cadastros]  DR160 -Setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP159 [Cadastros]  DK150 -Setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP160 [Cadastros] Master ride - Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP161 [Cadastros]  DK150 - Outubro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP158 [Cadastros]  DR160 - Outubro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP159 [Cadastros]  Natal - Dezembro 2024",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP162 [Cadastros]  DK160 - Janeiro 2025",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
