"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-01-01,2025-06-30,"MS CP132 [Cadastros] Niro - Outubro/24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP133 [Cadastros] Sportage — Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP134 [Cadastros] Bongo — outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP135 [Cadastros] EV5 — Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP136 [Cadastros] Carnival — Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP137 [Cadastros] Carnival — Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP138 [Cadastros] EV5 — Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,1059.11,148,actions:onsite_conversion.lead_grouped,7.15614865,7.431621,73705,1.933573,142514,1.980858,2823,0.375172,17
2025-01-01,2025-06-30,"CP139 [Cadastros] Bongo — outubro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"[Amanita] Always On | KIA | Bongo",active,"Usando o orçamento do conjunto de anúncios",0,4543.16,625,actions:onsite_conversion.lead_grouped,7.269056,10.113441,105987,4.238444,449220,0.869062,3904,1.163719,519
2025-01-01,2025-06-30,"CP141 [Cadastros] Niro - Outubro/24",inactive,"Usando o orçamento do conjunto de anúncios",0,913.91,81,actions:onsite_conversion.lead_grouped,11.28283951,30.327194,13730,2.194829,30135,1.801891,543,1.683076,49
2025-01-01,2025-06-30,"CP142 [Cadastros] Carnival — Dezembro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"[Amanita] Always On | KIA | Sportage",active,"Usando o orçamento do conjunto de anúncios",0,4552.61,520,actions:onsite_conversion.lead_grouped,8.75501923,23.906623,62514,3.046246,190433,2.225455,4238,1.074235,224
2025-01-01,2025-06-30,"[Amanita] Leads (WhatsApp) - Paleta Atlântida 2025",inactive,50,Diário,141.74,9,actions:onsite_conversion.messaging_conversation_started_7d,15.74888889,18.969486,4570,1.635011,7472,0.776231,58,2.443793,7
2025-01-01,2025-06-30,"CP151 [Cadastros] Niro - Fevereiro 9mil",inactive,"Usando o orçamento do conjunto de anúncios",0,343.87,16,actions:onsite_conversion.lead_grouped,21.491875,27.991046,6752,1.819461,12285,1.172161,144,2.387986,19
2025-01-01,2025-06-30,"CP152 [Cadastros] Sportage - fevereiro bonus",inactive,"Usando o orçamento do conjunto de anúncios",0,87.61,1,actions:onsite_conversion.lead_grouped,87.61,17.788832,3570,1.379552,4925,0.791878,39,2.24641,1
2025-01-01,2025-06-30,"CP158 [Cadastros] Bongo 7MIL BONUS FEV",inactive,"Usando o orçamento do conjunto de anúncios",0,155.07,12,actions:onsite_conversion.lead_grouped,12.9225,9.208979,8527,1.974786,16839,0.623552,105,1.476857,9
2025-01-01,2025-06-30,"CP158 [Cadastros] Seminovos KIA",archived,40,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP143 [Cadastros] Seminovos KIA",inactive,6,Diário,317.76,15,actions:onsite_conversion.lead_grouped,21.184,19.901046,11961,1.334922,15967,0.626292,100,3.1776,15
2025-01-01,2025-06-30,"[Amanita] Liquida Porto Alegre 2025 - Bongo",inactive,50,Diário,390.48,30,actions:onsite_conversion.lead_grouped,13.016,17.080618,11698,1.954266,22861,0.778619,178,2.193708,25
2025-01-01,2025-06-30,"[Amanita] Expodireto 2025 - Bongo+Carnival",inactive,20,Diário,214.23,9,actions:onsite_conversion.lead_grouped,23.80333333,14.056164,7648,1.992809,15241,0.557706,85,2.520353,16
2025-01-01,2025-06-30,"[Amanita] Always On | KIA | Passeio (Niro)",active,10,Diário,2215.1,193,actions:onsite_conversion.lead_grouped,11.47720207,22.93634,34423,2.805566,96576,1.601847,1547,1.431868,170
2025-01-01,2025-06-30,"[Amanita] Always On | KIA | Bongo - antiga",inactive,18,Diário,196.87,10,actions:onsite_conversion.lead_grouped,19.687,19.403706,1406,7.216216,10146,0.689927,70,2.812429,17
2025-01-01,2025-06-30,"[Amanita] Always On | KIA | Carnival",active,20,Diário,340.14,47,actions:onsite_conversion.lead_grouped,7.23702128,14.361594,12067,1.962708,23684,1.258233,298,1.141409,53
2025-01-01,2025-06-30,"[Amanita] Always On | KIA | EV5",active,7,Diário,341.33,49,actions:onsite_conversion.lead_grouped,6.96591837,16.717931,9543,2.139474,20417,1.787726,365,0.935151,37
2025-01-01,2025-06-30,"[Amanita] KIA | Pós-Venda - Oficina",inactive,10,Diário,483.21,1046,actions:landing_page_view,0.46195985,7.52476,33514,1.916095,64216,2.1926,1408,0.343189,2
2025-01-01,2025-06-30,"CP110 [Cadastros] Niro — Maio 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP111 [Cadastros] Sportage — Maio 24",inactive,33,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP112 [Cadastros] Sportage — Maio 24",inactive,18,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP114 [Cadastros] Sportage — Instagram - 12 Junho24",inactive,50,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"MS CP115 [VideoVIew] Sportage",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP116 [Cadastros] Sportage — Instagram - 17 Junho24",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP118 [Cadastros] Sportage — Video 75%",inactive,12.7,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP119 [Cadastros] Sportage — Video 75% RMKT 180D",inactive,8.06,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP120 Cadastros - Bento Gonçalves - JUL",inactive,8,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP121 [Bento]",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP122 [Cadastros] Bongo - Restinga 22 de Julho",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP117 [Cadastros] Sportage — 24 Julho",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP121 [Engajamento] Vila roub poa.",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP123 [Cadastros] Niro tx 0,99 - Agosto 2024",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP124 [Engajamento] Festival de Gramado - Agosto 24",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"MS CP125 [Cadastros] Niro - Agosto/24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP126 [Cadastros] Sportage festival de cinema - Agosto",inactive,8,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP126 [Cadastros] Bongo expointer",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP127 [ Visualização de video] - Agosto",inactive,15,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP128 [Cadastros] Sportage festival de cinema - Agosto",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP128 [Cadastros] Sportage — Setembro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"MS CP129 [Cadastros] Niro - Setembro/24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP130 [Cadastros] Bongo — outubro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP131 [Cadastros] Sportage — Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,357.41,38,actions:onsite_conversion.lead_grouped,9.40552632,17.184825,11768,1.767335,20798,1.56265,325,1.099723,22
2025-01-01,2025-06-30,"MS CP132 [Cadastros] Niro - Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP84 [Conversão] Stonic",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP82 [Conv] [Bongo]",inactive,15,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP90 [Mensagem] Sportage",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP85 [Conv] [Bongo]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP86 [Conversão] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP87 [Whats] [Aumento dos impostos]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP91[Conv] [Bongo] Antigos que deram bom",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP92 [Conversão] [Sportage] Antigos que deram bom",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP93 [Conversão] [Niro] Antigos que deram bom",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP94 [Cadastros] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP95 [Whats] Hibridos jornal - Jan24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP96 [Cadastros] Bongo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP97 [Cadastros] Sportage",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP98 [Cadastros] Stonic - Jan 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP99 [Conversão] [Stonic]  Jan24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP100 [Cadastros] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP101 [Cadastros] Stonic - Fev 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP102 [Cadastros] Bongo  Anuncio Dinamico  -Mar24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP103 [Cadastros] Movimento Hibrido Kia - Mar24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
