"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-06-01,2025-06-30,"CP04 - Zontes GK350 e R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP05 - Zontes R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP06 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP07 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP08 - Zontes GK350 stories",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP09 - Zontes V350 -E350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP10 - Zontes V350 -E350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP11 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP12 - Zontes V350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP13 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"[Amanita] Zontes - V350",active,7,Diário,435.37,138,actions:onsite_conversion.lead_grouped,3.15485507,6.141487,34708,2.042469,70890,1.558753,1105,0.394,275
2025-06-01,2025-06-30,"CP10 - Zontes GK350 — out 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP15 - Zontes GK350 - out 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP16 - Zontes S350 - dez 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP17 - Zontes R350 — dez 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP18 - Zontes R350 - dez 24",inactive,16,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"Seminovas novas MAR",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"GK EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CARROSSEL ZONTES EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP25 - Zontes FEVEREIRO EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"[Amanita] Always On Zontes",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"[Amanita] Zontes - T350 e T350x",active,7,Diário,435.67,56,actions:onsite_conversion.lead_grouped,7.77982143,8.681971,24492,2.048873,50181,0.882804,443,0.983454,96
2025-06-01,2025-06-30,"[Amanita] Zontes - GK350",inactive,10,Diário,315.62,8,actions:onsite_conversion.lead_grouped,39.4525,12.900352,14735,1.6604,24466,0.976866,239,1.320586,41
2025-06-01,2025-06-30,"[Amanita] Zontes - Tactic 400",active,10,Diário,156,18,actions:onsite_conversion.lead_grouped,8.66666667,16.009852,6262,1.556052,9744,1.375205,134,1.164179,18
2025-06-01,2025-06-30,"[Amanita] Zontes - S350",active,7,Diário,328.78,84,actions:onsite_conversion.lead_grouped,3.91404762,12.622082,14511,1.795052,26048,2.13836,557,0.590269,64
2025-06-01,2025-06-30,"CP01 - Zontes 350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP02 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP03 - Zontes R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
