Relatório de campanha
1 de janeiro de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,CPV médio,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo
Ativada,[Amanita] [PMAX] Sportage,"15,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,"0,01","3,65",410.939,12.012,"2,92%","0,12","1501,37"
Pausada,01 [Search] - Sportage,"35,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,10 - [youtube] [Sportage] Conversões – [05-06-24],"10,10", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,[youtube] [Sportage] Conversões – [27-05-24],"10,36", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,09 [Youtube] Sportage,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,Search [Kia Stonic],"20,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,05 - [trafego] Master Ride,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[YT] [Alcance] [Aumento de impostos] Não Pulavel,"20,00", --,Diário,BRL,CPM de destino,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,11- Search [Kia Stonic] [05-06-24],"17,50", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search] [Modelos] [Novo Site],"25,00", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[youtube] sportage [17-06-24],"25,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,08 [Search] - Sportage [27-05-24],"10,36", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,Concessionária Kia Sun Motors,"11,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada,Inteligente,0,0,0,0, --,0,"0,00"
Pausada,[YT] - Stonic,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,[youtube] [Sportage] Conversões – 2024-05-03,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,04 - [Search] Master Ride,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Ativada,03 [Pesquisa] Bongo,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,0,"45,16",43.628,1.390,"3,19%","1,42","1970,16"
Ativada,[Amanita] [PMAX] Bongo,"15,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Performance Max,"0,02","2,25",932.828,13.392,"1,44%","0,16","2094,96"
Ativada,01 [Pesquisa] Institucional,"14,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,0,"75,20",42.733,7.907,"18,50%","0,41","3213,47"
Ativada,16 [Pesquisa] Niro,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,0,"28,07",41.174,1.535,"3,73%","0,75","1155,81"
Pausada,07 [Pesquisa] Sportage,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[leads] [Youtube] Sportage 28-08-24,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,05 [Pesquisa] Niro,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,02 [Pesquisa] Niro,"20,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[YT] [Aumento de impostos],"20,00", --,Diário,BRL,CPV desejado,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,01 - [Search] Bongo,"30,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search][SEMINOVOS][CPC Otimizado],"8,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,0, --,0,"0,00"
