Relatório de campanha
1 de junho de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,CPV médio,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo
Ativada,[Amanita] [PMAX] Sportage,"15,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,"0,02","4,28",104.916,1.946,"1,85%","0,23","449,21"
Pausada,09 [Youtube] Sportage,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,[youtube] [Sportage] Conversões – [27-05-24],"10,36", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,11- Search [Kia Stonic] [05-06-24],"17,50", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[YT] [Alcance] [Aumento de impostos] Não Pulavel,"20,00", --,Diário,BRL,CPM de destino,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,[youtube] sportage [17-06-24],"25,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,[Search] [Modelos] [Novo Site],"25,00", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[YT] - Stonic,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,[youtube] [Sportage] Conversões – 2024-05-03,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,04 - [Search] Master Ride,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,08 [Search] - Sportage [27-05-24],"10,36", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,Concessionária Kia Sun Motors,"11,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada,Inteligente,0,0,0,0, --,0,"0,00"
Pausada,10 - [youtube] [Sportage] Conversões – [05-06-24],"10,10", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,01 [Search] - Sportage,"35,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,05 - [trafego] Master Ride,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,Search [Kia Stonic],"20,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Ativada,08 [Pesquisa] Stonic,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,0,"15,55",6.314,242,"3,83%","0,41","98,16"
Ativada,15 [Pesquisa] Sportage,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,0,"6,45",32.290,619,"1,92%","0,34","208,23"
Pausada,[Search][Peças e Acessórios][Max Cliques],"10,00", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Shopping]  [P.Max] [Todos Produtos] 30.04.24,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Performance Max,0,0,0,0, --,0,"0,00"
Pausada,04 [Pesquisa] Sportage,"20,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search] [Modelos] [Novo Site] 2.0,"45,50", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Youtube] Sportage - Vídeo visualizações –[19-06-2024],"9,67", --,Diário,BRL,CPV desejado,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,0, --,0,"0,00"
Pausada,23 - [Search][Peças e Acessórios][Max Cliques],"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,05 - [Search] Chopper Road 30.04.24,"10,00", --,Diário,BRL,Maximizar cliques,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,05 - [Search] Master Ride 30.04.24,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,03 [Search] [Sportage],"20,00", --,Diário,BRL,Maximizar conversões (CPA desejado),Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,[Search] [Kia Sportage] 3,"10,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,13 [Search] Niro [17-06-24],"17,50", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
Pausada,06 [Pesquisa] Bongo,"9,67", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,0, --,0,"0,00"
