Relatório de campanha
1 de junho de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Código da moeda,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Ativada,10 [Pesquisa] Chopper,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,967,83,BRL,"1,68","139,65","8,58%",83,"1,68","4,82%","4,00","34,91"
Ativada,12 [Pesquisa] V 350,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,908,92,BRL,"0,87","80,47","10,13%",92,"0,87","0,27%","0,25","321,88"
Pausada,16 [Youtube] GK350,"2,37", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,03 [Youtube] dk160,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,08 [Pesquisa] DR 160,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,09 [Youtube] Gsxs 8s,"0,11", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,06 [Pesquisa] NK 150,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,10 [Youtube] Dk 150,"0,11", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,11 [Youtube] Master,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,18 [Youtube] T350x,"2,37", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,09 [Youtube] Chopper,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,19 [Pesquisa] T350x,"2,37", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,04 [Pesquisa] DK 160 CBS,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 [Pesquisa] Dk 150,"11,01", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,27 [Pesquisa] NK 150 setembro,"0,11", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Ativada,04 [Pesquisa] Dk 150,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,4.947,182,BRL,"0,30","53,81","3,68%",182,"0,30","2,20%","4,00","13,45"
Ativada,[Amanita] [PMAX] Haojue,"7,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,79.470,2.478,BRL,"0,18","456,00","3,08%",2.444,"0,19","14,65%","363,00","1,26"
Ativada,06 [Pesquisa] T 350,"7,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,2.538,371,BRL,"0,70","258,77","14,62%",371,"0,70","3,38%","12,55","20,62"
Ativada,01 [Pesquisa] Master Ride,"5,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,10.184,283,BRL,"0,93","264,59","2,78%",283,"0,93","6,36%","18,00","14,70"
Ativada,17 [Pesquisa] GK350,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,71,12,BRL,"1,57","18,85","16,90%",12,"1,57","0,00%","0,00","0,00"
Pausada,13 [Youtube] Gsxs8s,"3,23", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,36 [Pesquisa] [Cliques] Zontes,"5,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,02 [Pesquisa] DK 150 CBS,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,08 [Youtube] V strom 800de,"0,11", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,07 [Youtube] DR 160,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,01 [Youtube] DK 150,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,07 [Pesquisa] V strom 800de,"0,11", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,04 [Pesquisa] Gsxs 1000,"11,01", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,19 [Pesquisa] T350x #2,"2,37", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Ativada,02 [Pesquisa] Nk 150,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,4.640,163,BRL,"0,30","49,49","3,51%",163,"0,30","1,23%","2,00","24,75"
Ativada,[Pesquisa] V-Strom 650,"7,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,17.594,305,BRL,"0,59","180,55","1,73%",305,"0,59","6,23%","19,00","9,50"
