"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-07-01,2025-07-31,"CP150 [Cadastros]  DR160 -Setembro — amplo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP151 [Cadastros] DK 160 emplacada - Setembro — delivery",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP150 [Cadastros] Chopper - Setembro - delivery",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP151 [Cadastros] DK 160 emplacada - Setembro",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP153 [Cadastros]  DR160 -Setembro — amplo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP154 [Cadastros] Master ride  CBO - Setembro",inactive,26.31,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP155 [Cadastros]  DK150 -Setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP156 [Cadastros]  NK150 - MARÇO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP157 [Cadastros] Master ride  CBO - Setembro",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP158 [Cadastros]  DR160 -Setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP159 [Cadastros]  DK150 -Setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP160 [Cadastros] Master ride - Outubro 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP161 [Cadastros]  DK150 - Outubro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP158 [Cadastros]  DR160 - Outubro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP159 [Cadastros]  Natal - Dezembro 2024",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP162 [Cadastros]  DK160 - Janeiro 2025",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP163 [Cadastros]  DK150 - Janeiro 2025",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"[Amanita] Always On | Haojue",inactive,32,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"Seminovas mar 25",inactive,7,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"[Amanita] Always On | Master Ride",active,12,Diário,649.14,58,actions:onsite_conversion.lead_grouped,11.19206897,18.119243,17978,1.992769,35826,1.437503,515,1.260466,115
2025-07-01,2025-07-31,"[Amanita] Always On | DR160",active,16,Diário,847.07,91,actions:onsite_conversion.lead_grouped,9.30846154,17.038862,27101,1.834397,49714,0.949431,472,1.79464,140
2025-07-01,2025-07-31,"[Amanita] Always On | DK160",active,16,Diário,539.77,50,actions:onsite_conversion.lead_grouped,10.7954,18.846718,12337,2.321472,28640,0.974162,279,1.93466,70
2025-07-01,2025-07-31,"[Amanita] Always On | NK150",active,22,Diário,890.39,130,actions:onsite_conversion.lead_grouped,6.84915385,14.532472,23970,2.55607,61269,1.465668,898,0.991526,152
2025-07-01,2025-07-31,"[Amanita] Always On Mês do motociclista",inactive,16,Diário,85.55,4,actions:onsite_conversion.lead_grouped,21.3875,17.80437,3067,1.566678,4805,1.248699,60,1.425833,0
2025-07-01,2025-07-31,"[Amanita] Always On | DL160",active,16,Diário,273.24,30,actions:onsite_conversion.lead_grouped,9.108,9.80585,15014,1.855934,27865,0.825408,230,1.188,64
2025-07-01,2025-07-31,"CP125 [Cadastros] Master ride  CBO -Julho",inactive,11.11,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP126 [Cadastros] DK 160 - 8 JULHO 24",inactive,25.83,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP127 [Cadastros] DK 150 - JULHO 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP128 [Cadastros] NK150 JUL",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP129 [Cadastros] DK 160 - 15 JULHO 24",inactive,11.8,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP130 [Cadastros] DK 150 - 15 JULHO 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP131 [Cadastros] DK 160 emplacada - 18 JULHO 24",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP132 [Cadastros] DK 150 Video Vendedores 19 JULHO 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP133 [Cadastros] DK 150 Video Vendedores 22 JULHO 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP134 [Cadastros] NK150 emplacamento - Agosto",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP135 [Cadastros] Chopper - 16Agosto",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP136 [Conversão] [DK150] Vendedores e emplacada",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP137 [Conversão] [DK160] emplacada",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP138 [Conversão] [DR160]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP139 [Conversão] [CHOPPER]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP140 [Conversão] [MASTER]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP141 [Cadastros] NK150 emplacamento - Agosto",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP142 [Cadastros]  DR160 - Agosto",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP143 [Cadastros] Chopper - 28 Agosto",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP144 [Cadastros] Chopper - Setembro - delivery",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP146 [Cadastros] Master ride  CBO - Setembro",inactive,26.31,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP147 [Cadastros]  DR160 -Setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP148 [Cadastros] DK 160 emplacada - Setembro",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP149 [Cadastros] Chopper - Setembro — amplo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP146 [Cadastros] Master ride  CBO - Setembro — delivery",inactive,6.11,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"12 - [Conversão] [DK]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"13 - [Conversão] [GXS]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"14 - [Conversão] [GSX e Hayabusa]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"15 - [Conversão] [GSX e Hayabusa]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"16 - [Conversão] [NEX]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"16 - [Conversão] [NEX]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"17 - [Conversão] [Lindy]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"11 - [Conversão] [Chopper]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"36 - [Conversão] [GSX]",inactive,15,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"37 - [Conversão] [Lindy]  - Litoral",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"43 - [Conversão] [NK 150]",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"53 - [Conversão] [NK 150] — Cópia — Cópia",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"53 - [Conversão] [NK 150]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"54 - [Conversão] [Lindy]",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"61 - [Conversão] Master Ride",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"62 - [Conversão] Master Ride — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"70 - [Conversão] [Chopper 12.999] - Junho/23",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"71 - [Conversão] [NK 150] - setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"72 - [Conversão] Master Ride - junho/23",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"73 - [Conversão] [DR 160 19.996] - setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"74 - [Conversão] [DK 12.999] - junho/23",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"75 - [Conversão] [Lindy] junho/23",inactive,7,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"76 - [Conversão] [DK 12.999] - junho/23",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"69 - [Conversão] Master Ride - setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP124 [Cadastros] DK 160 - JUNHO 24",inactive,12.09,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"08 - [Conversão] [Chopper]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"09 - [Conversão] [DK150]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"09 - [Conversão] [DK150] — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"10 - [Conversão] [DK150] R$ 11.999",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"11 - [Conversão] [Chopper]  - Interesse delivery",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"12 - [Conversão] [DK150] R$ 11.999 - Interesse delivery",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"12 - [Conversão] [Chopper]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"33 - [Conversão] [Lindy]  - Interesse delivery",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"34 - [Conversão] [NEX]  - Interesse delivery — Cópia",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"35- [Conversão] [CBO] [V-Strom 1050]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"46 - [Conversão] [Motos Emplacadas] — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"50 - [Conversão] [Chopper 12.999]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"51 - [Conversão] [DK 12.999]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"54 - [Conversão] [DK 12.999] — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"51 - [Conversão] [DK 12.999] — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"43 - [Conversão] [NK 150] — Cópia",inactive,7,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"51 - [Conversão] [Chopper 12.999]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
