"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-01-01,2025-06-30,"CP04 - Zontes GK350 e R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP05 - Zontes R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP06 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP07 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP08 - Zontes GK350 stories",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP09 - Zontes V350 -E350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP10 - Zontes V350 -E350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP11 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP12 - Zontes V350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP13 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"[Amanita] Zontes - V350",active,7,Diário,1881.96,621,actions:onsite_conversion.lead_grouped,3.0305314,4.808364,119843,3.265881,391393,1.484697,5811,0.323862,1138
2025-01-01,2025-06-30,"CP10 - Zontes GK350 — out 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP15 - Zontes GK350 - out 24",inactive,"Usando o orçamento do conjunto de anúncios",0,242.45,122,actions:onsite_conversion.lead_grouped,1.98729508,6.739402,19794,1.81747,35975,1.562196,562,0.431406,171
2025-01-01,2025-06-30,"CP16 - Zontes S350 - dez 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP17 - Zontes R350 — dez 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP18 - Zontes R350 - dez 24",inactive,16,Diário,1022.97,589,actions:onsite_conversion.lead_grouped,1.73679117,5.009844,73078,2.794165,204192,1.765985,3606,0.283686,1158
2025-01-01,2025-06-30,"Seminovas novas MAR",inactive,"Usando o orçamento do conjunto de anúncios",0,565.78,145,actions:onsite_conversion.lead_grouped,3.90193103,7.506999,31138,2.420419,75367,1.77664,1339,0.422539,259
2025-01-01,2025-06-30,"GK EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,451.41,89,actions:onsite_conversion.lead_grouped,5.07202247,6.529021,30421,2.272739,69139,1.187463,821,0.549829,129
2025-01-01,2025-06-30,"CARROSSEL ZONTES EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP25 - Zontes FEVEREIRO EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,440.44,101,actions:onsite_conversion.lead_grouped,4.36079208,8.60352,21756,2.353052,51193,1.529506,783,0.562503,148
2025-01-01,2025-06-30,"[Amanita] Always On Zontes",inactive,25,Diário,1107.79,262,actions:onsite_conversion.lead_grouped,4.22820611,9.947738,40188,2.771001,111361,1.600201,1782,0.621655,398
2025-01-01,2025-06-30,"[Amanita] Zontes - T350 e T350x",active,7,Diário,815.22,102,actions:onsite_conversion.lead_grouped,7.99235294,10.627713,34973,2.193321,76707,1.039019,797,1.022861,166
2025-01-01,2025-06-30,"[Amanita] Zontes - GK350",inactive,10,Diário,568.54,28,actions:onsite_conversion.lead_grouped,20.305,12.466616,24170,1.886843,45605,0.909988,415,1.369976,86
2025-01-01,2025-06-30,"[Amanita] Zontes - Tactic 400",active,10,Diário,408.75,39,actions:onsite_conversion.lead_grouped,10.48076923,15.745378,14748,1.760239,25960,1.267334,329,1.242401,46
2025-01-01,2025-06-30,"[Amanita] Zontes - S350",active,7,Diário,816.27,213,actions:onsite_conversion.lead_grouped,3.83225352,11.10073,31802,2.312213,73533,2.067099,1520,0.53702,228
2025-01-01,2025-06-30,"CP01 - Zontes 350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP02 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-01-01,2025-06-30,"CP03 - Zontes R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
