"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-07-01,2025-07-31,"CP06 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP07 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP08 - Zontes GK350 stories",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP09 - Zontes V350 -E350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP10 - Zontes V350 -E350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP11 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP12 - Zontes V350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP13 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"[Amanita] Zontes - V350",active,7,Diário,281.16,101,actions:onsite_conversion.lead_grouped,2.78376238,6.292044,23251,1.921853,44685,1.852971,828,0.339565,194
2025-07-01,2025-07-31,"CP10 - Zontes GK350 — out 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP15 - Zontes GK350 - out 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP16 - Zontes S350 - dez 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP17 - Zontes R350 — dez 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP18 - Zontes R350 - dez 24",inactive,16,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"Seminovas novas MAR",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"GK EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CARROSSEL ZONTES EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP25 - Zontes FEVEREIRO EMPLACAMENTO",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"[Amanita] Always On Zontes",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"[Amanita] Zontes - T350 e T350x",active,7,Diário,308.45,37,actions:onsite_conversion.lead_grouped,8.33648649,9.596777,17296,1.858291,32141,0.768489,247,1.248785,66
2025-07-01,2025-07-31,"[Amanita] Zontes - GK350",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"[Amanita] Zontes - Tactic 400",active,10,Diário,121.82,9,actions:onsite_conversion.lead_grouped,13.53555556,29.777561,2580,1.585659,4091,1.56441,64,1.903438,9
2025-07-01,2025-07-31,"[Amanita] Zontes - S350",active,7,Diário,276.94,63,actions:onsite_conversion.lead_grouped,4.39587302,11.778666,14127,1.664331,23512,2.279687,536,0.516679,122
2025-07-01,2025-07-31,"(TATI) T 350 EMPLACAMENTO",active,16,Diário,359.19,49,actions:onsite_conversion.lead_grouped,7.33040816,9.748148,18429,1.999403,36847,0.87117,321,1.118972,90
2025-07-01,2025-07-31,"[Amanita] Zontes - E350 Scooter",active,16,Diário,277.37,33,actions:onsite_conversion.lead_grouped,8.40515152,16.345689,8817,1.924578,16969,1.720785,292,0.949897,58
2025-07-01,2025-07-31,"CP01 - Zontes 350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP02 - Zontes T350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP03 - Zontes R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP04 - Zontes GK350 e R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP05 - Zontes R350",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
