Relatório de campanha
1 de julho de 2025 - 31 de julho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Código da moeda,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Ativada,15 [Pesquisa] Sportage,"7,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,24.929,516,BRL,"0,41","213,77","2,07%",516,"0,41","7,69%","39,71","5,38"
Ativada,08 [Pesquisa] Stonic,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,3.593,188,BRL,"0,34","63,02","5,23%",188,"0,34","0,00%","0,00","0,00"
Pausada,[Search][Peças e Acessórios][Max Cliques],"10,00", --,Diário,Maximizar conversões (CPA desejado),Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Shopping]  [P.Max] [Todos Produtos] 30.04.24,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Performance Max,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,Shopping [padrão] [08-05-2024],"10,00", --,Diário,Maximizar cliques,Pausado,campanha pausada; desconhecido,Compras,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,14 [Search] Niro,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,13 [Search] Niro [17-06-24],"17,50", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,06 [Pesquisa] Bongo,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Search] [Kia Sportage] 3,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,03 [Search] [Sportage],"20,00", --,Diário,Maximizar conversões (CPA desejado),Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Search] [Kia Sportage],"30,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 - [Search] Chopper Road 30.04.24,"10,00", --,Diário,Maximizar cliques,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,04 [Pesquisa] Sportage,"20,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Search] [Modelos] [Novo Site] 2.0,"45,50", --,Diário,Maximizar conversões (CPA desejado),Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; alguns anúncios foram reprovados,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,23 - [Search][Peças e Acessórios][Max Cliques],"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Youtube] Sportage - Vídeo visualizações –[19-06-2024],"9,67", --,Diário,CPV desejado,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 - [Search] Master Ride 30.04.24,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Ativada,[Amanita] [PMAX] Sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,69.124,2.171,BRL,"0,21","457,67","2,71%",1.875,"0,24","6,17%","133,94","3,42"
Pausada,09 [Youtube] Sportage,"9,67", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[youtube] [Sportage] Conversões – [27-05-24],"10,36", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
