Relatório de campanha
1 de julho de 2025 - 31 de julho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Ativada,[Amanita] [PMAX] Haojue,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Performance Max,73.596,2.575,"0,14","348,81","3,43%",2.524,"0,14","16,27%","419,00","0,83"
Ativada,06 [Pesquisa] T 350,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,2.584,352,"0,98","346,19","13,62%",352,"0,98","5,97%","21,00","16,49"
Ativada,04 [Pesquisa] Dk 150,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,11.119,313,"0,29","90,25","2,82%",313,"0,29","1,92%","6,00","15,04"
Ativada,17 [Pesquisa] GK350,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,1.236,80,"1,00","80,20","6,47%",80,"1,00","1,25%","1,00","80,20"
Ativada,01 [Pesquisa] Master Ride,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,10.190,233,"1,21","282,34","2,29%",233,"1,21","10,73%","25,00","11,29"
Pausada,08 [Youtube] V strom 800de,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,13 [Youtube] Gsxs8s,"3,23", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,36 [Pesquisa] [Cliques] Zontes,"5,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,07 [Youtube] DR 160,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,02 [Pesquisa] DK 150 CBS,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,19 [Pesquisa] T350x #2,"2,37", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,04 [Pesquisa] Gsxs 1000,"11,01", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,07 [Pesquisa] V strom 800de,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,01 [Youtube] DK 150,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Ativada,10 [Pesquisa] Chopper,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,1.514,140,"1,16","161,89","9,25%",140,"1,16","6,07%","8,50","19,05"
Ativada,12 [Pesquisa] V 350,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,679,73,"1,20","87,69","10,75%",73,"1,20","3,42%","2,50","35,07"
Pausada,06 [Pesquisa] NK 150,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,10 [Youtube] Dk 150,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,11 [Youtube] Master,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,16 [Youtube] GK350,"2,37", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,03 [Youtube] dk160,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,08 [Pesquisa] DR 160,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,09 [Youtube] Gsxs 8s,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,19 [Pesquisa] T350x,"2,37", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 [Pesquisa] Dk 150,"11,01", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,27 [Pesquisa] NK 150 setembro,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,04 [Pesquisa] DK 160 CBS,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,09 [Youtube] Chopper,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,18 [Youtube] T350x,"2,37", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Ativada,20 [Pesquisa] R350,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,798,62,"1,33","82,32","7,77%",62,"1,33","5,65%","3,50","23,52"
Ativada,02 [Pesquisa] Nk 150,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,12.234,360,"0,21","77,12","2,94%",360,"0,21","2,22%","8,00","9,64"
Ativada,[Pesquisa] V-Strom 650,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,17.934,406,"0,74","300,59","2,26%",406,"0,74","7,51%","30,50","9,86"
Ativada,24 [Pesquisa] DR 160,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,14.598,698,"0,50","350,57","4,78%",698,"0,50","5,01%","35,00","10,02"
Ativada,14 [Pesquisa] Gsx8s,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,1.019,49,"1,65","80,88","4,81%",49,"1,65","0,00%","0,00","0,00"
Ativada,03 [Pesquisa] V-strom 800de,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,3.557,119,"0,51","60,45","3,35%",119,"0,51","1,68%","2,00","30,23"
Pausada,15 [Pesquisa] Vstrom800de,"3,23", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,11 [Pesquisa] Gsxs 8s,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 [Youtube] NK150,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,31 [Pesquisa] Hayabusa setembro,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,21 [Pesquisa] Hayabusa,"3,23", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,12 [Pesquisa] Master,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,23 [Pesquisa] DK 150 CBS -11 de setembro,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,14 [Youtube] vstrom800de,"5,52", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,13 [Pesquisa] Master Ride,"25,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Campanhas, --, --, --, --,BRL, --, --,, --,151.058,5.460,"0,43","2349,30","3,58%",5.409,"0,43","10,29%","561,99","4,18"
Total: Conta,,,,,BRL,,,,,151.058,5.460,"0,43","2349,30","3,58%",5.409,"0,43","10,29%","561,99","4,18"
Total: Pesquisa,,,,,BRL,,,,Pesquisa,77.462,2.885,"0,69","2000,50","3,72%",2.885,"0,69","4,96%","142,99","13,99"
Total: Vídeo,,,,,BRL,,,,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Performance Max,,,,,BRL,,,,Performance Max,73.596,2.575,"0,14","348,81","3,43%",2.524,"0,14","16,27%","419,00","0,83"
