Relatório de campanha
1 de janeiro de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Código da moeda,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Ativada,[Amanita] [PMAX] Sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,410.939,12.012,BRL,"0,12","1501,37","1,01%",4.152,"0,36","3,17%","459,97","3,26"
Pausada,Concessionária Kia Sun Motors,"11,00", --,Diário,Maximizar cliques,Pausado,campanha pausada,Inteligente,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,08 [Search] - Sportage [27-05-24],"10,36", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[youtube] sportage [17-06-24],"25,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[Search] [Modelos] [Novo Site],"25,00", --,Diário,Maximizar conversões (CPA desejado),Pausado,campanha pausada; alguns anúncios foram reprovados,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,11- Search [Kia Stonic] [05-06-24],"17,50", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,[YT] [Alcance] [Aumento de impostos] Não Pulavel,"20,00", --,Diário,CPM de destino,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,10 - [youtube] [Sportage] Conversões – [05-06-24],"10,10", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,01 [Search] - Sportage,"35,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 - [trafego] Master Ride,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
