Relatório de campanha
1 de janeiro de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Ativada,12 [Pesquisa] V 350,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,2.774,335,"1,00","336,00","12,08%",335,"1,00","0,92%","3,08","108,97"
Ativada,10 [Pesquisa] Chopper,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,3.758,288,"1,46","419,97","7,66%",288,"1,46","3,82%","11,00","38,18"
Pausada,08 [Pesquisa] DR 160,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,18 [Youtube] T350x,"2,37", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,09 [Youtube] Chopper,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,06 [Pesquisa] NK 150,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,11 [Youtube] Master,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,10 [Youtube] Dk 150,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,03 [Youtube] dk160,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,16 [Youtube] GK350,"2,37", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,09 [Youtube] Gsxs 8s,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 [Pesquisa] Dk 150,"11,01", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,27 [Pesquisa] NK 150 setembro,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,19 [Pesquisa] T350x,"2,37", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
